,wiki_id,freebase_id,movie_name,release_date,box_office_revenue,runtime,has_summary,thriller,romance_film
0,975900,/m/03vyhn,Ghosts of Mars,2001-08-24,14010832.0,98.0,1,1,0
1,27556929,/m/04j0jtp,Deadly Voyage,1996-01-01,,90.0,1,1,0
2,3550323,/m/09kzfd,Things to Do in Denver When You're Dead,1995-10-01,529677.0,115.0,1,1,0
3,27463222,/m/0c037x9,Vanishing on 7th Street,2010-09-12,,92.0,1,1,0
4,1940449,/m/067p6m,RoboCop 3,1993-11-05,10600000.0,105.0,1,1,0
5,19389755,/m/04mzmq8,Asylum Seekers,2009-01-01,,90.0,1,1,0
6,10705531,/m/02qmrx5,On the Beach,2000-01-01,,195.0,1,1,0
7,20506905,/m/04zy_f7,Perrier's Bounty,2010-05-21,160430.0,88.0,1,1,0
8,11686007,/m/02rnyyt,Sioux City,1994-01-01,,102.0,1,1,0
9,22557257,/m/05zkfk2,The Moment After 2: The Awakening,2006-05-28,,90.0,1,1,0
10,1226289,/m/04k12v,Bless the Child,2000-08-11,40443010.0,107.0,1,1,0
11,1964091,/m/069dl1,Next,2007-04-25,76066841.0,95.0,1,1,0
12,3917900,/m/0b6qmv,The Contract,2006-01-01,5549200.0,96.0,1,1,0
13,1378672,/m/04xzt0,Ordinary Decent Criminal,2000-01-01,,93.0,1,1,0
14,26068632,/m/0b6msm0,The Final Cut,1996-06-20,,88.0,1,1,0
15,4572965,/m/0c9jj9,Hostel 2,2007-06-07,35619521.0,94.0,1,1,0
16,5884079,/m/0fbrd7,Bangkok Dangerous,2008-08-22,82486154.0,97.0,1,1,0
17,8437284,/m/0273d78,Cash,2007-08-03,,145.0,1,1,0
18,4200912,/m/0bpnbl,Zebra Lounge,2001-10-04,,92.0,1,1,0
19,36406869,/m/0k9f_3f,Sella Turcica,2010-10-13,,106.0,1,1,0
20,36036213,/m/0d6np27,Buried Alive,1990-05-09,,93.0,1,1,0
21,2028217,/m/06g77c,Inland Empire,2006-12-06,4028293.0,197.0,1,1,0
22,1141059,/m/049w1q,The Clearing,2004-01-01,,95.0,1,1,0
23,24665535,/m/080c12d,The Box,2007-01-01,,96.0,1,1,0
24,12837431,/m/02x6_md,Solar Attack,2005-01-01,,91.0,1,1,0
25,4501185,/m/0c5skt,Universal Soldier: The Return,1999-07-06,10937893.0,89.0,1,1,0
26,28992007,/m/0dgn19h,Illegal,2010-05-18,,95.0,1,1,0
27,26149260,/m/0ccbhm0,Dylan Dog: Dead of Night,2010-10-26,6734962.0,107.0,1,1,0
28,24407838,/m/07s53z2,Coffin Rock,2009-01-01,,89.0,1,1,0
29,2023704,/m/06fwns,The Bone Collector,1999-08-29,151493655.0,114.0,1,1,0
30,25861920,/m/09v5kb3,Two Came Back,1997-09-28,,90.0,1,1,0
31,504242,/m/02j9_2,Serenity,2005-08-22,38869464.0,119.0,1,1,0
32,25008319,/m/09gj0dy,Death of a Ghost Hunter,2007-01-01,,107.0,1,1,0
33,21604407,/m/05msfyg,Aduri,2008-05-16,,101.0,1,1,0
34,21132938,/m/05c13wg,The Square,2008-07-31,,106.0,1,1,0
35,1597720,/m/05fgg1,Distant Shadow,1999-01-01,,100.0,1,1,0
36,3387343,/m/098ytq,El Muerto,2007-01-01,,90.0,1,1,0
37,35993713,/m/0b6pnft,The Fear Inside,1992-08-09,,115.0,1,1,0
38,5283066,/m/0dcgr8,King of the Ants,2003-01-01,,103.0,1,1,0
39,9906067,/m/02pwlkz,Boiling Point,1993-01-01,10058318.0,93.0,1,1,0
40,2080306,/m/06kt1h,Drop Zone,1994-12-09,28735315.0,101.0,1,1,0
41,33628294,/m/0cvccbp,Body Armour,2007-01-01,,90.0,1,1,0
42,3158499,/m/08w51z,Juice,1992-01-17,20146880.0,94.0,1,1,0
43,31404359,/m/0g55blx,The Son of No One,2011-07-09,30680.0,95.0,1,1,0
44,25411775,/m/04jbt9x,A Reasonable Man,1999-08-13,45000.0,103.0,1,1,0
45,4703636,/m/0cj5ry,The Dark,2005-05-01,,93.0,1,1,0
46,16674680,/m/03ylv0s,(Wes Craven Presents) Carnival of Souls,1998-08-21,,85.0,1,1,0
47,9340076,/m/02854l1,Adrenalin: Fear the Rush,1996-01-01,37536.0,95.0,1,1,0
48,8700683,/m/027fgcb,The X Files 2,2008-07-24,68369434.0,100.0,1,1,0
49,878005,/m/03l0dw,Ong-Bak: Muay Thai Warrior,2003-10-23,,101.0,1,1,0
50,30575,/m/07j6w,Twelve Monkeys,1995-12-27,168839459.0,131.0,1,1,0
51,6691690,/m/0ghjvz,The Tooth Fairy,2006-08-06,,89.0,1,1,0
52,43307,/m/0bw20,K-19: The Widowmaker,2002-07-19,65716126.0,138.0,1,1,0
53,8997652,/m/027stvn,The Hunted,1995-02-24,6609661.0,110.0,1,1,0
54,25871790,/m/09v42sf,Kaboom,2010-05-15,539957.0,83.0,1,1,0
55,15386228,/m/03m6sts,WΔZ,2008-02-22,,104.0,1,1,0
56,16355097,/m/03whngr,Achamundu Achamundu,2009-01-01,,,1,1,0
57,13312274,/m/03c1dy7,Gospel Hill,2008-01-01,,99.0,1,1,0
58,26200531,/m/0b73wf4,Gross Misconduct,1993-01-01,,90.0,1,1,0
59,19554890,/m/04mzgp0,The Thaw,2009-01-01,,94.0,1,1,0
60,5955514,/m/0fghvz,Fled,1996-07-19,17193231.0,98.0,1,1,0
61,21350474,/m/05f63hw,Nine Dead,2010-03-09,,83.0,1,1,0
62,19787914,/m/0bwhdbl,Scream 4,2011-04-11,97138686.0,111.0,1,1,0
63,33656303,/m/0hhtpdf,Cassadaga,2011-10-22,,113.0,1,1,0
64,359571,/m/01_8y6,The Life of David Gale,2003-02-07,38955598.0,131.0,1,1,0
65,22144721,/m/05qbckf,Iron Man 2,2010-04-26,623933331.0,124.0,1,1,0
66,21057974,/m/05c2_7k,Pirates of Treasure Island,2006-06-27,,80.0,1,1,0
67,3658781,/m/09stdm,The Lake,1998-02-01,,,1,1,0
68,19024526,/m/04jkpgv,Antichrist,2009-10-23,2492704.0,103.0,1,1,0
69,2951878,/m/08frd6,Two Small Bodies,1993-04-03,,88.0,1,1,0
70,142457,/m/011yqc,L.A. Confidential,1997-05-14,126216940.0,136.0,1,1,0
71,17931096,/m/047s09y,When Strangers Appear,2001-01-01,,102.0,1,1,0
72,4515396,/m/0c6lk5,Stormbreaker,2006-07-21,,95.0,1,1,0
73,27539366,/m/0bj5x76,Ghost Machine,2009-01-01,,100.0,1,1,0
74,22523378,/m/05z_844,New Town Killers,2008-01-01,,100.0,1,1,0
75,20839451,/m/057cwv4,Sonic Impact,2000-03-14,,94.0,1,1,0
76,28763446,/m/0ddg_bs,Colombiana,2011-07-27,60965854.0,107.0,1,1,0
77,2188611,/m/06tjyj,Played,2006-05-19,,87.0,1,1,0
78,4110795,/m/0bjpcz,Fay Grim,2006-01-01,,119.0,1,1,0
79,31417999,/m/0crztvy,Henry's Crime,2010-09-14,204940.0,108.0,1,1,0
80,13280124,/m/03c0bgc,Grand Tour: Disaster in Time,1992-05-09,,97.0,1,1,0
81,6851815,/m/0gsl0y,Jimmy and Judy,2006-09-15,,100.0,1,1,0
82,26138411,/m/0gpdxw,Prey,2007-01-01,,90.0,1,1,0
83,971217,/m/03vhs5,Twisted,2004-02-27,,97.0,1,1,0
84,29594386,/m/04j0kzk,Motives 2: Retribution,2007-01-01,,94.0,1,1,0
85,9273330,/m/0282l0j,Trois 2: Pandora's Box,2002-01-01,,104.0,1,1,0
86,545187,/m/02nlfw,Volcano,1997-04-25,122823468.0,103.0,1,1,0
87,22667247,/m/05znbh7,Bodyguards and Assassins,2009-12-18,5837674.0,138.0,1,1,0
88,14421091,/m/0270k40,Cirque du Freak: The Vampire's Assistant,2009-10-22,39102650.0,119.0,1,1,0
89,11894802,/m/02rx3lg,Hard Cash,2002-02-15,,98.0,1,1,0
90,1164551,/m/04cpsy,Ginger Snaps 2: Unleashed,2004-01-01,10902112.0,94.0,1,1,0
91,26187979,/m/04ybqxh,Stolen,2010-03-05,,92.0,1,1,0
92,8291759,/m/026z7rc,Lost,2004-10-05,,90.0,1,1,0
93,23982633,/m/076yzh_,Harry Brown,2009-09-12,10309370.0,103.0,1,1,0
94,5699114,/m/0d_tb9,The Detonator,2006-04-25,,96.0,1,1,0
95,31614378,/m/09tzpcm,The Perfect Host,2010-01-01,,92.0,1,1,0
96,20402406,/m/04zzwmh,Season of the Witch,2011-01-04,,95.0,1,1,0
97,28722503,/m/0cz8mkh,Final Destination 5,2011-08-04,157887643.0,95.0,1,1,0
98,1862671,/m/061z4s,Bullet in the Head,1990-08-17,,126.0,1,1,0
99,27954029,/m/0ch5yg5,Cherry Tree Lane,2010-06-23,,77.0,1,1,0
100,34350686,/m/0h_8_wv,The Kook,2011-03-01,,17.0,1,1,0
101,8620409,/m/027bbtg,The Dead Girl,2006-12-29,905291.0,93.0,1,1,0
102,13527082,/m/03c8bc8,Jack Says,2008-09-01,,86.0,1,1,0
103,6085266,/m/0fpf67,Bloodsport 2,1996-03-01,,86.0,1,1,0
104,8908857,/m/027p781,The Undefeatable,1994-01-01,,90.0,1,1,0
105,6342627,/m/0g1ym6,Ted Bundy,2002-07-26,68716.0,100.0,1,1,0
106,2852779,/m/086xys,Nemesis Game,2003-01-01,,91.0,1,1,0
107,7160018,/m/03q69ds,Life Before Her Eyes,2007-09-08,7248490.0,90.0,1,1,0
108,19859269,/m/04q8bmc,Jailbreakers,1994-09-09,,76.0,1,1,0
109,11508746,/m/02rg8g7,The Fourth Angel,2001-08-15,,96.0,1,1,0
110,2372994,/m/0779m1,The General's Daughter,1999-06-18,149705852.0,116.0,1,1,0
111,17430659,/m/0463311,Black Widow,2008-05-17,,89.0,1,1,0
112,22318957,/m/05sxzwc,Jonah Hex,2010-06-17,10903312.0,81.0,1,1,0
113,2031778,/m/06gg01,Kounterfeit,1996-01-01,,90.0,1,1,0
114,21586409,/m/05ms4yl,The Guilty,2000-06-01,,112.0,1,1,0
115,2350630,/m/075tz_,Wake of Death,2004-01-01,,90.0,1,1,0
116,10061978,/m/02q0k7v,Body of Lies,2008-10-05,115097286.0,128.0,1,1,0
117,5464450,/m/0dn0vl,Angli: The Movie,2005-05-28,,120.0,1,1,0
118,3920193,/m/0b6tzs,No Country for Old Men,2007-11-04,171627166.0,123.0,1,1,0
119,1364770,/m/04wzkz,8mm,1999-02-19,96618699.0,125.0,1,1,0
120,2528212,/m/07l450,The Last King of Scotland,2006-09-01,48362207.0,121.0,1,1,0
121,2082089,/m/06kyc4,Trixie,2000-01-01,295683.0,117.0,1,1,0
122,12607294,/m/02wxphp,Prey,2008-01-01,,,1,1,0
123,709318,/m/034qbx,The Stepford Wives,2004-06-06,102001626.0,93.0,1,1,0
124,320502,/m/01vg4x,Panic,2000-12-01,779137.0,93.0,1,1,0
125,23681959,/m/06zn_nm,Ignition,2002-01-17,,99.0,1,1,0
126,16852170,/m/0408d2j,Bad Girls From Valley High,2000-01-01,,84.0,1,1,0
127,6887230,/m/0gvbzs,Thr3e,2007-01-01,,101.0,1,1,0
128,32100598,/m/0gwz0yh,Odd Thomas,2012-01-01,,,1,1,0
129,1712658,/m/05qdwy,Alien Hunter,2003-01-01,,91.0,1,1,0
130,633832,/m/02yy9r,Dirty Pretty Things,2002-09-05,13904766.0,93.0,1,1,0
131,2311219,/m/072x7s,Munich,2005-12-23,130358911.0,164.0,1,1,0
132,2155510,/m/06qxsf,John Carpenter presents Body Bags,1993-08-08,,91.0,1,1,0
133,23135176,/m/064n1pz,The Girl with the Dragon Tattoo,2009-02-27,104384415.0,152.0,1,1,0
134,1751944,/m/05t4h1,Lady Vengeance,2005-01-01,23809504.0,112.0,1,1,0
135,26717073,/m/0bmch_x,Unknown,2011-02-16,136123083.0,111.0,1,1,0
136,12812187,/m/02x5xyc,Gravesend,1997-01-01,,85.0,1,1,0
137,1553602,/m/059wxk,Four Days in September,1997-04-19,,105.0,1,1,0
138,20370386,/m/04z_tyl,Bronson,2008-10-01,2260712.0,92.0,1,1,0
139,34044006,/m/0gyf1qc,Excision,2012-01-21,,80.0,1,1,0
140,21652388,/m/05mrb9f,Lake Mungo,2008-01-01,,87.0,1,1,0
141,5638547,/m/0dxn56,Out of Reach,2004-01-01,,86.0,1,1,0
142,28646399,/m/0czcxcz,Sweet Angel Mine,1996-01-01,,88.0,1,1,0
143,3896645,/m/0b5q9v,Feng Shui,2004-01-01,,115.0,1,1,0
144,11697273,/m/02rpbhg,Stuck,2007-05-21,146154.0,85.0,1,1,0
145,17365387,/m/043lfrj,A Perfect Getaway,2009-08-06,22852638.0,98.0,1,1,0
146,3671998,/m/09tm6h,Raising Cain,1992-01-01,37170057.0,91.0,1,1,0
147,19874156,/m/04qb6gl,The Lodger,2009-01-01,,95.0,1,1,0
148,2571604,/m/07ntww,The Exorcism of Emily Rose,2005-09-01,144216468.0,121.0,1,1,0
149,15726696,/m/0cpllql,Star Wars: The Clone Wars,2008-08-10,68282844.0,90.0,1,1,0
150,30824882,/m/0gfggdv,Retreat,2011-02-11,,90.0,1,1,0
151,1577984,/m/05cx06,Stir of Echoes,1999-09-10,,94.0,1,1,0
152,1129583,/m/048tv9,Blade: Trinity,2004-12-08,128905366.0,105.0,1,1,0
153,648921,/m/02_fz3,Face/Off,1997-06-27,245676146.0,140.0,1,1,0
154,922861,/m/03q7kk,Cube 2: Hypercube,2002-01-01,,94.0,1,1,0
155,9893014,/m/02pw3v0,Young and Dangerous 6: Born to Be King,2000-07-21,,90.0,1,1,0
156,3140828,/m/08v03f,The Air I Breathe,2007-02-08,25775.0,95.0,1,1,0
157,7443488,/m/0261wwr,"Triads, Yardies and Onion Bhajees",2003-01-01,,105.0,1,1,0
158,33497207,/m/0bct7mj,Stop at Nothing,1991-03-12,,96.0,1,1,0
159,3589259,/m/09nd86,Second Name,2002-11-15,,93.0,1,1,0
160,33774989,/m/0bvbv3c,Cold Heaven,1991-01-01,,102.0,1,1,0
161,1631497,/m/05j3s1,Hard Target,1993-08-20,74189677.0,128.0,1,1,0
162,3606413,/m/09pjp3,Impostor,2001-12-04,8145549.0,102.0,1,1,0
163,2450545,/m/07dzr6,The Cave,2005-08-26,33296457.0,197.0,1,1,0
164,921891,/m/03q4qb,Cradle 2 the Grave,2003-02-28,56489558.0,100.0,1,1,0
165,15703454,/m/03nqpb7,The Ruins,2008-04-02,22375000.0,94.0,1,1,0
166,35874076,/m/0hhggmy,Taken 2,2012-09-07,315005577.0,,1,1,0
167,1222561,/m/04jryv,Curdled,1996-01-01,,94.0,1,1,0
168,833502,/m/03flsn,King of New York,1990-07-18,2554476.0,106.0,1,1,0
169,8007011,/m/026n9yk,Money,1991-01-01,,105.0,1,1,0
170,818002,/m/03dyd7,Double Jeopardy,1999-09-24,177841558.0,105.0,1,1,0
171,9001894,/m/027s_3d,Silver Hawk,2004-01-15,,100.0,1,1,0
172,20985242,/m/05b46bj,Spectres,2005-06-02,,97.0,1,1,0
173,16013696,/m/03qksf8,Mikey,1992-09-23,,90.0,1,1,0
174,892031,/m/03m9db,American Psycho 2,2002-06-01,,88.0,1,1,0
175,24665356,/m/080p3vp,The Box,2003-01-01,,99.0,1,1,0
176,1267713,/m/04nnpw,The Others,2001-08-02,218947037.0,104.0,1,1,0
177,12877538,/m/02x983k,The Clown at Midnight,1999-02-09,,91.0,1,1,0
178,3238135,/m/090glv,House of the Dead,2003-10-10,13818181.0,90.0,1,1,0
179,4594202,/m/0cbnn_,Body Melt,1993-01-01,,81.0,1,1,0
180,9079357,/m/027wxjr,Stone Cold,1991-05-17,,95.0,1,1,0
181,24228929,/m/07kh6f3,The Town,2010-09-08,154026136.0,150.0,1,1,0
182,31918569,/m/0fpmrm3,Take Shelter,2011-01-24,3077604.0,120.0,1,1,0
183,1024792,/m/03_95w,Police Story 3: Super Cop,1992-07-04,,95.0,1,1,0
184,25751187,/m/09v5h_r,Uncovered,1994-01-01,,112.0,1,1,0
185,7693015,/m/0kvfb5,The Tiger's Tail,2006-01-01,,97.0,1,1,0
186,4760936,/m/0cly8m,Insomnia,2002-05-24,113714830.0,118.0,1,1,0
187,2905998,/m/08bpx7,The Fallen Ones,2005-05-14,,89.0,1,1,0
188,14955031,/m/03h2xz5,We'll Meet Again,2002-01-01,,100.0,1,1,0
189,33623750,/m/0hgpnxg,The Loneliest Planet,2011-08-11,,113.0,1,1,0
190,8152894,/m/026tj79,The Visitation,2006-02-15,,99.0,1,1,0
191,6669106,/m/0ggqln,Gallowwalker,2010-01-01,,90.0,1,1,0
192,12564335,/m/02ww0q4,From Within,2009-01-02,,90.0,1,1,0
193,9521029,/m/02phnk3,This Revolution,2004-01-01,,95.0,1,1,0
194,468326,/m/02d478,21 Grams,2003-09-05,60427839.0,124.0,1,1,0
195,35052587,/m/0j65lkt,A Sting in a Tale,2009-11-06,,115.0,1,1,0
196,8295055,/m/026zcvr,Death Train,1993-04-14,,100.0,1,1,0
197,24013376,/m/07kctnj,Carriers,2009-08-18,5802422.0,85.0,1,1,0
198,11523957,/m/02rgt13,Blind Terror,2001-01-01,,88.0,1,1,0
199,19522919,/m/04mx30t,The Steam Experiment,2009-03-01,,90.0,1,1,0
200,20926831,/m/05b3jp2,Vengeance,2009-05-17,1346952.0,109.0,1,1,0
201,21606793,/m/05mzvz4,Direct Contact,2009-03-01,,90.0,1,1,0
202,16654243,/m/03yjxmv,Future Cops,1993-01-01,,95.0,1,1,0
203,18521491,/m/04f4w5j,Midnight in Saint Petersburg,1996-01-01,,89.0,1,1,0
204,6328860,/m/0g1872,Fatwa,2006-03-24,,91.0,1,1,0
205,5541078,/m/0drn6m,The i Inside,2004-01-15,,91.0,1,1,0
206,11699160,/m/02rpdgq,The Card Player,2004-01-01,,96.0,1,1,0
207,34996704,/m/0gx99m8,Only God Forgives,2013-03-28,,,1,1,0
208,12000999,/m/02vlj62,The Brave One,2007-09-06,69787663.0,122.0,1,1,0
209,12113716,/m/02vq76p,Boulevard,1994-01-01,,95.0,1,1,0
210,394792,/m/0234j5,Jackie Brown,1997-12-25,39673162.0,151.0,1,1,0
211,28598939,/m/0bdt85k,Red Hill,2010-01-01,,94.0,1,1,0
212,2876631,/m/088j6t,Dreamcatcher,2003-03-06,,136.0,1,1,0
213,10239839,/m/05m_yxv,Knife Edge,2009-01-01,,93.0,1,1,0
214,7463646,/m/0kv85w,Royal Kill,2008-01-01,50090.0,90.0,1,1,0
215,8719021,/m/027g5l5,Dragon Squad,2005-01-01,,110.0,1,1,0
216,32790377,/m/0b7h_5j,Bright Angel,1990-11-01,158243.0,94.0,1,1,0
217,6983796,/m/0gzx5k,The Killing Floor,2007-03-14,,94.0,1,1,0
218,236122,/m/01j8wk,Don't Say a Word,2001-09-24,100020092.0,113.0,1,1,0
219,34643778,/m/0j24ylh,The Dark Place,2013-01-01,,,1,1,0
220,3635829,/m/09rcwd,Running Scared,2006-01-06,9380029.0,121.0,1,1,0
221,11671832,/m/02rng65,Sleuth,2007-10-11,4872444.0,88.0,1,1,0
