,wiki_id,freebase_id,movie_name,release_date,box_office_revenue,runtime,has_summary,thriller,romance_film
0,9363483,/m/0285_cd,White Of The Eye,1987-01-01,,110.0,1,1,0
1,4951456,/m/0cws46,Kinjite: Forbidden Subjects,1989-01-01,3416846.0,97.0,1,1,0
2,2154704,/m/06qv1c,Choke Canyon,1986-05-02,,94.0,1,1,0
3,13919299,/m/03cn6hr,The Devil’s Gift,1984-01-01,,90.0,1,1,0
4,7235116,/m/0kv17w,Someone to Watch Over Me,1987-10-09,10278549.0,106.0,1,1,0
5,12061267,/m/02vnj6h,Grizzly II: The Predator,1987-01-01,,97.0,1,1,0
6,15337014,/m/03m5fv7,The Whistle Blower,1987-01-01,,100.0,1,1,0
7,817057,/m/03dwzc,Outland,1981-05-22,,109.0,1,1,0
8,24292756,/m/07s83qp,Eyes of a Stranger,1981-02-11,,84.0,1,1,0
9,5682615,/m/0dzydf,Malibu Express,1985-01-01,,105.0,1,1,0
10,12188026,/m/02vtsph,Nicole,1988-01-01,,91.0,1,1,0
11,250012,/m/01l310,Pale Rider,1985-05-01,,115.0,1,1,0
12,12183290,/m/02vtdyp,Strange Behavior,1981-01-01,,94.0,1,1,0
13,129295,/m/0yx7h,Fatal Attraction,1987-09-11,320145693.0,119.0,1,1,0
14,1924191,/m/066gyt,Rampage,1988-01-01,,97.0,1,1,0
15,1481638,/m/054xvf,Saturn 3,1980-02-15,9000000.0,95.0,1,1,0
16,1702604,/m/05pn3c,The Mirror Crack'd,1980-12-19,,105.0,1,1,0
17,3549346,/m/09kxk0,The Incubus,1982-02-24,,93.0,1,1,0
18,445066,/m/0299hs,RoboCop,1987-07-17,53424681.0,103.0,1,1,0
19,13572405,/m/03c9ryb,Ten Little Indians,1989-01-01,,98.0,1,1,0
20,3727473,/m/09xld5,Man on Fire,1987-09-04,519596.0,92.0,1,1,0
21,13508300,/m/03c7n1y,Home Sweet Home,1981-01-01,,85.0,1,1,0
22,21472296,/m/05f8m_h,The Set-Up,1988-01-01,,93.0,1,1,0
23,6446044,/m/0g5pv3,For Your Eyes Only,1981-06-24,195300000.0,127.0,1,1,0
24,4515733,/m/0c6m5_,Extreme Prejudice,1987-04-24,11307844.0,104.0,1,1,0
25,2795282,/m/0834qx,Runaway,1984-12-14,6770587.0,100.0,1,1,0
26,2448736,/m/07dvtc,Lone Wolf McQuade,1983-04-15,12232628.0,105.0,1,1,0
27,4956346,/m/0cw_g3,L.A. Takedown,1989-01-01,,92.0,1,1,0
28,2370658,/m/077488,Southern Comfort,1981-09-25,,99.0,1,1,0
29,2485103,/m/07h5_c,Vice Squad,1982-01-22,5568880.0,97.0,1,1,0
30,23634493,/m/06zpqsv,Gotham,1988-08-21,,98.0,1,1,0
31,541642,/m/02n72k,Octopussy,1983-06-06,187500000.0,131.0,1,1,0
32,1312930,/m/04s2t2,Wrong Is Right,1982-04-16,,117.0,1,1,0
33,11883104,/m/02rwpv8,Night Game,1989-09-15,,95.0,1,1,0
34,9299602,/m/0283lsm,Lune de miel,1985-11-20,,98.0,1,1,0
35,2563340,/m/07n8dt,Death Hunt,1981-05-22,,97.0,1,1,0
36,2522220,/m/0c01vd9,The Hidden,1987-10-20,9747988.0,98.0,1,1,0
37,1803595,/m/05y808,The Changeling,1980-03-28,,107.0,1,1,0
38,2887314,/m/0897y1,Ghost Story,1981-12-15,23371905.0,111.0,1,1,0
39,4541049,/m/0c7xzl,The Dead Next Door,1988-01-01,,84.0,1,1,0
40,2541839,/m/07lz72,Sea of Love,1989-09-15,110879513.0,113.0,1,1,0
41,2129381,/m/06p361,Suspect,1987-10-23,49782400.0,121.0,1,1,0
42,262465,/m/01mypy,Mad Max 2: The Road Warrior,1981-12-24,,87.0,1,1,0
43,6785614,/m/0gnsw5,Apartment Zero,1989-01-01,,124.0,1,1,0
44,350584,/m/01z6qv,The Vanishing,1988-01-01,,106.0,1,1,0
45,529276,/m/02l_j_,Jaws: The Revenge,1987-07-17,51881013.0,91.0,1,1,0
46,5578994,/m/0dtj7w,The Package,1989-08-25,10647219.0,108.0,1,1,0
47,12741677,/m/02x2wk2,Pin...,1988-01-01,,102.0,1,1,0
48,9782726,/m/02ps1cl,The Octagon,1980-08-14,18971000.0,103.0,1,1,0
49,5813191,/m/0f6mw2,The January Man,1989-01-13,4611062.0,97.0,1,1,0
50,4681364,/m/0ch0qx,Street Smart,1987-03-20,1119112.0,97.0,1,1,0
51,1099277,/m/045y7f,Enigma,1983-01-01,,101.0,1,1,0
